mlu	estado	revisado_antes	titulo	autor
MLU1001092502	disponible	si	Rodolfo Walsh, La Palabra Y La Accion - Jozami, Eduardo	JOZAMI, EDUARDO
MLU1001317126	disponible	no	Tecnoceno - Flavia Costa - Taurus - Libro	Flavia Costa
MLU1001343376	encargo	no	Happycracia - Cabanas, Edgar	Cabanas, Edgar
MLU1001355550	encargo	no	Libro La Reina Descalza De Ildefonso Falcones	Ildefonso Falcones
MLU1001382526	encargo	no	Bhaktivedanta Swami Prabhupada Bhagavad-gt Edición Bolsill	A.C. Bhaktivedanta Swami Prabhupada
MLU1001523996	disponible	no	Costa Tecnoceno Algoritmos Y Nuevas Formas De Vida	Flavia Costa
MLU1006823424	disponible	si	Valle De La Calma - Dross / Da Revilla - Temas Hoy - Libro	Dross
MLU1006888492	disponible	si	Ejercitación De Las Funciones Ejecutivas - Euredjian	Martha Euredjian
MLU1009347902	disponible	si	Ejercitación Funciones Ejecutivas Kit Estimulación Cognitiva	Martha Euredjian
MLU1009386546	disponible	si	Valle De La Calma Libro De Bienestar Y Reflexión	Dross
MLU1009881928	encargo	no	Hoy No Es Siempre, De Sabrina Critzmann. Editorial Planeta, Tapa Blanda En Español, 2019	Sabrina Critzmann
MLU1011675244	disponible	si	Jamás Tan Cerca Agustín Valle Paidós	Agustín Valle
MLU1016549898	encargo	no	Libro Carpe Diem: Aprovecha El Presente, De Humberto Montesinos. Editorial Independently Published, Tapa Blanda ( 2025)	Humberto Montesinos
MLU1017134606	encargo	no	Carpe Diem Aprovecha El Presente Libro Motivacional	Humberto Montesinos
MLU1017539392	encargo	no	Libro ALGún Tiempo Atrás - La Vida De Gustavo Cerati - Sergio Marchi - Sudamericana	Sergio Marchi
MLU1017617454	encargo	no	Manual Practico De La Construccion: Para Obras Nuevas Y Arreglos, De Jaime Nisnovich. 1, Vol. 1. Editorial Nisno, Tapa Blanda, Edición 1 En Español, 2022	Jaime Nisnovich
MLU1017638608	disponible	si	Después Del Genocidio	Abu-Tarbush, José
MLU1017669380	encargo	no	Manual Práctico De Construcción Obra Y Materiales	Jaime Nisnovich
MLU1018535344	disponible	si	Didier Fassin Después Del Genocidio Memoria Y Política	Abu-Tarbush, José
MLU1020898470	disponible	no	Raja Shehadeh Palestina Heredar El Futuro Medio Oriente	GOMEZ, LUZ
MLU1021047986	encargo	no	Bluey ¡cómo Brillan! Libro Con Linterna Interactivo, De Varios Autores. Editorial Pikids, Tapa Dura ( 2025)	Varios autores
MLU1023960666	disponible	no	Palestina.heredar El Futuro, De Gomez, Luz. Editorial Los Libros De La Catarata En Español, 2024	GOMEZ, LUZ
MLU1031375038	disponible	si	Goddard A Sus Órdenes Ley De La Asunción Y Manifestación	Neville Goddard
MLU1033790258	disponible	si	A Sus Órdenes, De Neville Goddard. Editorial Independently Published, Tapa Blanda En Español, 2019	Neville Goddard
MLU1033930562	disponible	si	Participacion Social Para Que ?, De Eduardo Menendez. Editorial Lugar Editorial, Tapa Blanda En Español	Eduardo Menendez
MLU1034099538	disponible	no	Nora Y Nico Van Al Dentista, De Calvo Llorente, Ainara. Editorial Geu En Español	Calvo Llorente, Ainara
MLU1034112540	disponible	no	El Abuelo, De Bassa I Martín, Ramon. Editorial Salvatella, Tapa Blanda En Español	Bassa i Martín, Ramon
MLU1034177556	encargo	no	Mi Cofre De Baño. Libro Acordeon, De Martinez, Sigrid. Editorial Auzou En Español	Martinez, Sigrid
MLU1034203536	disponible	si	Esculpiendo Palabras En La Arena, De Cristina Cortes. Editorial Desclee De Brouwer, Tapa Blanda En Español	Cortés, Cristina
MLU1034216544	disponible	si	Ideas Generales Sobre El Método : Manual Práctico	Maria Montessori
MLU1034268510	disponible	si	Las Manos De Mi Padre, De Deok-kyu Choi. Editorial Litera Libros, Tapa Dura En Español	DEOK-KYU CHOI
MLU1034268514	encargo	no	Libro El Dolor Silencioso Del Hombre, De Cristhian Daniel Gaona. Editorial Independently Published, Tapa Blanda	Cristhian Daniel Gaona
MLU1034320504	disponible	si	Yo Tendria Que Estar Muerta, De Julieta Prandi. Editorial The Orlando Books, Tapa Blanda En Español, 2024	Julieta Prandi
MLU1034333504	disponible	no	Taller De Otoño, De Matamoro Blas. Serie N/a, Vol. Volumen Unico. Editorial Blatt & Rios, Tapa Blanda, Edición 1 En Español	Blas Matamoro
MLU1038849242	encargo	no	365 Acertijos Y Retos De Ingenio - Capo,miquel	Capó, Miquel
MLU1038858644	encargo	no	Dk Mitos Y Leyendas Guia Ilustrada (tapa Dura)	Dorling Kindersley
MLU1038888100	disponible	no	Mates Del Día A Día Matemáticas Cartoné Escolar	Varios autores
MLU1038927348	encargo	no	Agenda Espiral Obelisco Multicolor Hadas 2026 Multiculor	
MLU1039014716	disponible	no	Infantil Reinos Minúsculos Insectos Solapas Gigante Libro	Anne Jankéliowitch
MLU1039018108	encargo	no	Agenda Hadas 2026 Planificador Mágico Escolar Niñas Diaria Multiculor Hadas 2026	
MLU1039044122	encargo	no	Libro 365 Acertijos De Ingenio Y Desafíos Mentales	Capó, Miquel
MLU1039134254	disponible	si	Libro Enigmas. Detectives A Domicilio 05: Misterios Terrorificos, De Paul Martin. Editorial Librooks	Paul Martin
MLU1039264144	disponible	no	Nickelodeon Dibuja A Los Loud Manual De Dibujo Paso A Paso	Émilie Malandain
MLU1040161920	encargo	no	Un Besito Y ¡a Dormir! Td Combel	Geis Conti, Patricia
MLU1041264234	encargo	no	El Principito Edición Ilustrada Premium Tapa Blanda	CHRISTOPHE QUILLIEN
MLU1041303238	encargo	no	Enciclopedia Ilustrada De El Principito_np, De Christophe Quillien. Editorial Lunwerg En Español	CHRISTOPHE QUILLIEN
MLU1041303410	encargo	no	Carson Dellosa Flash Cards Multiplication Tablas 1 A 12	Varios autores
MLU1041380942	disponible	no	Gnosis Y Tradiciones Sagradas: Ensayos Y Epistolario En Torno De La Obra De Francisco García Bazán, De Nante, Bernardo. Editorial El Hilo De Ariadna, Tapa Blanda En Español, 2015	Nante, Bernardo
MLU1041446020	disponible	no	Libro Gnosis Y Tradiciones Sagradas Esoterismo Ocultismo	Nante, Bernardo
MLU1041472400	disponible	si	Aves Migratorias: Una Guía Sobre 11 Magníficas Especies	Haller, Marina
MLU1041524306	disponible	si	Aves Migratorias: Una Guía Sobre 11 Magnificas Especies, De Floria Haller. N/a, Vol. Volumen Unico. Editorial Pípala, Tapa Blanda, Edición 1 En Español	Haller, Marina
MLU1041835110	encargo	no	Evaluacion Psicodeportologica, De Roffe, Marcelo.. Editorial Lugar En Español	Roffe, Marcelo
MLU1041860778	disponible	si	Animal, De Blanco Pantoja, Daniel., Vol. 1. Editorial Errata Naturae Editores S.l, Tapa Dura En Español	DANIEL BLANCO PANTOJA
MLU1042770714	encargo	no	Un Paso Por Delante De Wall Street: Cómo Utilizar Lo Que Ya Sabes Para Ganar Dinero En Bolsa, De Peter Lynch., Vol. 0.0. Editorial Deusto, Tapa Blanda, Edición 1.0 En Español, 2015	Peter Lynch
MLU1043915642	disponible	si	El Gran Estado, De Brook, Timothy. Alianza Editorial, Tapa Blanda En Español	Brook, Timothy
MLU1043928612	disponible	si	Es Primavera, De Aa. Vv.. Editorial Hachette, Tapa Blanda En Español	VV. AA.
MLU1044023240	encargo	no	Los Miserables - Estuche - Tomo 1 Y 2	Hugo, Victor
MLU1044110574	disponible	si	Vida De Ali, De Eig, Jonathan. Editorial Capitán Swing, Tapa Blanda En Español, 2022	Eig, Jonathan
MLU1044356710	encargo	no	Lula De La Cárcel A La Presidencia, De Juan Manuel Karg. Editorial Futurock, Tapa Blanda, Edición 1 En Español	Juan Manuel Karg
MLU1044629576	encargo	no	Explicaciones De Fronteras Inexplicables, De Un Mundo Inmenso. Editorial Ediciones Peninsula, Tapa Dura En Español, 2024	Un Mundo Inmenso
MLU1044629630	encargo	no	¡sin Vueltas!nos Animamos A Hablar De Sexualidad	Hurrell, Silvia
MLU1044629634	disponible	si	Libro Pequeña Guia Verde Para Acompañar A Madres Y Niñxs, De Adriana Marcus, Vol. 1. Editorial Madreselva, Tapa Blanda	Adriana Marcus
MLU1044785818	encargo	no	Victor Hugo Los Miserables Alianza Editorial Nuevo	Hugo, Victor
MLU1045175530	disponible	no	Principito Mi Libro De Texturas, De Aa.vv. Editorial Panini Infantil En Español	AA.VV.
MLU1045422536	disponible	si	La Sabana Santa Una Trilogia A Traves Del Tiempo Y El Espac, De Liberge, Eric. Editorial Hachette, Tapa Dura En Español	LIBERGE, ERIC
MLU1045526506	disponible	no	Vínculos De Noc Y Nic A Nanda-i Y Diagnósticos Médicos, De [et Al.]. Editorial Elsevier España, S.l.u. En Español	[et Al.]
MLU1047180696	encargo	no	Viaje Intimo De La Locura, El, De Roberto Iniesta Ojea. Editorial El Hombre Del Saco En Español	ROBERTO INIESTA OJEA
MLU1047466790	encargo	no	Roberto Iniesta El Viaje Intimo De La Locura Extremoduro	ROBERTO INIESTA OJEA
MLU1064594742	encargo	no	Eduardo Mateo Razones Locas Música Uruguaya Esencial	DE ALENCAR PINTO, GUILHERME
MLU1067797720	disponible	si	Programa Lee Comprensivamente Guía Teórica: Sin Datos, De Bárbara Gottheil Y Otros. Serie Sin Datos, Vol. 0. Editorial Paidós, Tapa Blanda, Edición Sin Datos En Español, 2011	Bárbara Gottheil y otros
MLU1067798132	disponible	si	Mayor Y Menor 7	Chanti
