Fecha,Sin indexar,Indexadas,Impresiones
2026-05-09,5,5,281
2026-05-10,186012,154,336
2026-05-11,135631,325,310
2026-05-12,135631,325,332
2026-05-13,135631,325,268
2026-05-14,135631,325,340
2026-05-15,123879,222,278
2026-05-16,123879,222,277
2026-05-17,123879,222,265
2026-05-18,120498,263,289
2026-05-19,120498,263,320
2026-05-20,120498,263,278
2026-05-21,120498,263,226
2026-05-22,115579,259,239
2026-05-23,115579,259,268
2026-05-24,115579,259,275
2026-05-25,111645,295,282
2026-05-26,111645,295,314
2026-05-27,111645,295,312
2026-05-28,111645,295,287
2026-05-29,106190,292,285
2026-05-30,106190,292,255
2026-05-31,106190,292,310
2026-06-01,101448,334,241
2026-06-02,101448,334,243
2026-06-03,101448,334,303
2026-06-04,101448,334,320
2026-06-05,98020,330,362
2026-06-06,98020,330,299
2026-06-07,98020,330,350
2026-06-08,87990,326,328
2026-06-09,87990,326,338
2026-06-10,87990,326,360
2026-06-11,87990,326,300
2026-06-12,63417,333,310
2026-06-13,63417,333,312
2026-06-14,63417,333,298
2026-06-15,63417,333,285
2026-06-16,63417,333,351
2026-06-17,63417,333,326
2026-06-18,63417,333,277
2026-06-19,63417,333,257
2026-06-20,63417,333,298
2026-06-21,63417,333,340
2026-06-22,63417,333,359
2026-06-23,63417,333,287
2026-06-24,63417,333,284
2026-06-25,63417,333,327
2026-06-26,63417,333,253
2026-06-27,63417,333,270
2026-06-28,63417,333,294
2026-06-29,63417,333,315
2026-06-30,23606,419,364
2026-07-01,23606,419,328
2026-07-02,23606,419,340
2026-07-03,23606,419,282
2026-07-04,23606,419,289
2026-07-05,23606,419,385
2026-07-06,23606,419,315
2026-07-07,23606,419,313
2026-07-08,23606,419,316
2026-07-09,23606,419,288
2026-07-10,20754,595,277
2026-07-11,20754,595,251
2026-07-12,20754,595,317
2026-07-13,20754,595,239
2026-07-14,20754,595,246
2026-07-15,20754,595,179
2026-07-16,20754,595,210
2026-07-17,20754,595,202
2026-07-18,20754,595,151
2026-07-19,20754,595,144
2026-07-20,20754,595,194
2026-07-21,20754,595,215
2026-07-22,20754,595,183
2026-07-23,20754,595,186
2026-07-24,18847,670,184
2026-07-25,18847,670,165
2026-07-26,18847,670,251
2026-07-27,18847,670,244
2026-07-28,18847,670,218
2026-07-29,18847,670,190
2026-07-30,18847,670,221
2026-07-31,18847,670,174
2026-08-01,18847,670,170
2026-08-02,18847,670,137
2026-08-03,18847,670,146
2026-08-04,18847,670,177
