prioridad,mlu,titulo,isbn,stock,publicaciones_mismo_isbn,categoria,enriquecida,ficha_ampliada,falta,motivo,google_books,open_library,bne,loc,dnb
1,MLU687363560,Animales - Dibujos Paso A Paso,9781409591238,25,2,infantil-juvenil,no,no,editorial · páginas · temas,falta_google_books,pendiente,sin_datos,sin_datos,sin_datos,sin_datos
2,MLU687454548,Libro: Animales - Dibujos Paso A Paso,9781409591238,25,2,infantil-juvenil,no,no,editorial · páginas · temas,falta_google_books,pendiente,sin_datos,sin_datos,sin_datos,sin_datos
3,MLU802209486,"Teoria Del Caos - Murphy Robert P., La--barbarroja Lib",9789873773433,4,2,otros-libros,no,no,autor · editorial · páginas · año · temas,falta_google_books,pendiente,sin_datos,sin_datos,error,sin_datos
4,MLU643862121,"Libreniñez : Un Manifiesto, De Marianela Casanova. Editorial Hora Mágica, Tapa Blanda En Español",9789878806297,13,2,otros-libros,no,no,páginas · año · temas,falta_google_books,pendiente,sin_datos,sin_datos,sin_datos,sin_datos
5,MLU636004998,El Señor Tormenta - Pez Y Cubillas * Sm,9789875730243,8,2,otros-libros,no,no,editorial · páginas · año · temas,falta_google_books,pendiente,sin_datos,sin_datos,sin_datos,sin_datos
6,MLU628097949,Duermete Lindo,9789502417172,2,2,otros-libros,no,no,autor · editorial · páginas · año · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
7,MLU634014207,Las Mamás Y Los Bebés Primero,9789879869673,4,4,otros-libros,no,no,páginas · año · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
8,MLU669964920,"Las Mamás Y Los Bebés Primero, De Szejer Caumel Dauphin. Editorial Creavida En Español",9789879869673,4,4,otros-libros,no,no,páginas · año · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
9,MLU1043928612,"Es Primavera, De Aa. Vv.. Editorial Hachette, Tapa Blanda En Español",9788418182389,1,2,otros-libros,no,no,autor · editorial · páginas · año · temas,falta_google_books,pendiente,sin_datos,sin_datos,sin_datos,sin_datos
10,MLU1302839010,Edipo Gay,9789569441912,1,2,otros-libros,no,no,editorial · páginas · año · idioma · temas,falta_google_books,pendiente,sin_datos,sin_datos,error,sin_datos
11,MLU644205629,"Intervención En Dificultades De Lectoescritura: Estimulación De La Conciencia Fonológica, De Varios Autores. N/a, Vol. 1. Editorial Psylicom, Tapa Blanda En Español",9788412740608,1,2,otros-libros,no,no,autor · editorial · páginas · año · temas,evidencia_insuficiente,encontrado,sin_datos,sin_datos,sin_datos,sin_datos
12,MLU680176182,Travel. La Vuelta Al Mundo En 1000 Preguntas - Aa. Vv,9788408237365,1,2,otros-libros,no,no,autor · editorial · páginas · año · temas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
